Leveyshaku: avoin 80x80, reitti löytyy
pituus	boolean	nodet	A*	BFS
-1	647	913	106	318
-1	664	742	109	322
-1	550	733	106	312
-1	537	720	105	334
-1	574	762	142	302
-1	746	701	103	335
-1	632	754	111	335
-1	621	755	109	354
-1	580	724	106	336
-1	621	779	106	313
-1	602	720	106	325
-1	612	715	106	477
-1	566	745	108	336
-1	940	1047	150	323
-1	745	719	103	334
-1	651	729	106	326
-1	678	730	106	320
-1	754	735	109	328
96
pituus	boolean	nodet	A*	BFS
-1	655	725	74	239
-1	673	713	83	243
-1	644	736	74	236
-1	643	722	74	245
-1	631	713	73	256
-1	686	716	75	243
-1	695	727	75	237
-1	735	717	75	236
-1	560	744	82	240
-1	686	735	74	240
-1	633	712	74	236
-1	632	718	74	231
-1	635	752	73	265
-1	633	711	74	239
-1	617	713	81	239
-1	584	802	72	251
-1	620	751	80	238
-1	601	780	75	244
-1	624	714	74	240
-1	675	720	75	236
76
pituus	boolean	nodet	A*	BFS
-1	597	719	48	204
-1	577	751	47	197
-1	581	725	47	169
-1	614	733	47	178
-1	571	715	49	184
-1	590	749	47	168
-1	581	716	48	176
-1	583	708	47	174
-1	576	721	47	188
-1	585	722	48	168
-1	587	732	47	179
-1	589	740	48	197
-1	570	723	48	254
-1	658	741	52	198
-1	558	751	49	172
-1	637	702	47	181
-1	619	751	49	221
-1	597	732	50	185
-1	666	723	49	173
-1	600	769	48	175
56
pituus	boolean	nodet	A*	BFS
-1	615	734	30	151
-1	603	775	28	146
-1	592	710	28	142
-1	653	720	28	150
-1	578	712	28	150
-1	596	732	28	154
-1	564	709	28	145
-1	601	716	28	155
-1	565	721	28	149
-1	584	708	28	157
-1	569	710	28	196
-1	590	735	29	159
-1	608	710	28	145
-1	585	719	34	158
-1	690	735	29	151
-1	590	750	29	158
-1	610	727	28	145
-1	537	725	28	150
-1	644	755	29	243
-1	645	739	30	155

IDA*: avoin 80x80, takaa-ajo
156
pituus	boolean	nodet	A*	BFS
-1	567	752	130	8
-1	586	732	130	7
-1	600	795	125	7
-1	610	727	123	7
-1	552	758	131	7
-1	606	732	123	7
-1	649	738	129	9
-1	669	833	155	10
-1	657	755	129	9
-1	621	783	131	9
-1	643	757	131	10
-1	628	735	130	9
-1	620	730	129	10
-1	620	784	131	9
-1	622	750	130	10
-1	656	739	132	10
-1	611	748	131	11
-1	637	742	129	13
-1	859	737	130	14
-1	1016	1032	131	15
136
pituus	boolean	nodet	A*	BFS
-1	655	739	150	9
-1	1006	780	151	11
-1	643	757	179	10
-1	1060	763	150	14
-1	1022	747	150	15
-1	1056	1029	192	14
-1	941	1016	213	14
-1	1088	1031	182	13
-1	948	1067	179	25
-1	974	999	178	12
-1	984	807	144	7
-1	632	710	143	7
-1	684	757	148	8
-1	607	740	162	7
-1	624	748	150	7
-1	533	757	147	7
-1	557	774	143	7
-1	550	716	144	7
-1	601	743	147	7
-1	623	764	147	7
116
pituus	boolean	nodet	A*	BFS
-1	577	727	109	6
-1	730	750	160	7
-1	522	736	106	6
-1	594	729	106	7
-1	665	732	105	7
-1	718	748	110	6
-1	650	734	108	7
-1	602	726	105	6
-1	564	722	105	6
-1	583	710	106	7
-1	608	713	105	6
-1	589	709	105	7
-1	573	719	105	6
-1	613	733	107	6
-1	626	835	114	7
-1	630	740	108	6
-1	582	854	105	6
-1	601	861	115	7
-1	578	841	118	6
-1	603	735	102	6
96
pituus	boolean	nodet	A*	BFS
-1	604	887	75	5
-1	713	710	74	6
-1	582	853	87	6
-1	720	705	74	6
-1	593	847	74	5
-1	713	716	74	6
-1	563	874	99	8
-1	714	747	77	7
-1	604	842	73	13
-1	708	719	74	6
-1	543	848	74	5
-1	726	723	72	5
-1	594	885	74	5
-1	733	710	74	6
-1	591	842	75	13
-1	676	712	74	6
-1	576	870	75	5
-1	525	850	81	5
-1	538	738	72	5
-1	619	931	75	6
76
pituus	boolean	nodet	A*	BFS
-1	599	709	48	5
-1	568	845	49	5
-1	699	712	48	5
-1	580	860	49	5
-1	685	721	69	6
-1	637	900	50	6
-1	13588	753	51	6
-1	719	915	49	6
-1	724	742	50	6
-1	553	867	49	6
-1	796	710	49	6
-1	567	887	49	5
-1	765	718	47	6
-1	609	858	49	5
-1	858	751	50	7
-1	679	868	52	5
-1	652	855	49	6
-1	551	707	49	6
-1	530	970	53	6
-1	608	742	50	6
56
pituus	boolean	nodet	A*	BFS
-1	612	844	28	5
-1	726	713	28	5
-1	603	839	28	5
-1	723	742	27	6
-1	598	914	31	6
-1	758	735	30	6
-1	621	866	29	5
-1	703	720	28	5
-1	564	850	28	5
-1	755	716	28	5
-1	592	861	32	6
-1	660	740	28	6
-1	507	856	35	5
-1	710	763	27	5
-1	541	858	28	5
-1	561	853	28	5
-1	564	706	27	5
-1	575	889	29	5
-1	638	709	28	5
-1	588	870	28	5
